id_inmueble,tipo_inmueble,precio,area_construida,habitaciones,banos,estrato,id_localidad,localidad,lat,lon
23,Apartaestudio,134929156,25.5,1,1,4,11,SUBA,4.738782,-74.011486
24,Apartamento,434762264,67.2,2,3,3,13,TEUSAQUILLO,4.651316,-74.074273
25,Casa,320681993,99.8,4,5,2,11,SUBA,4.77475,-74.021418
26,Apartamento,651379343,74.4,2,3,5,2,CHAPINERO,4.651832,-74.06064
27,Casa,386558585,107.2,4,3,3,8,KENNEDY,4.633755,-74.159708
28,Apartamento,763763913,129.9,4,3,5,17,CANDELARIA,4.604995,-74.066315
29,Oficina,451552315,107.4,4,3,3,14,LOS MARTIRES,4.590935,-74.077204
30,Apartamento,559891175,57.8,2,3,5,2,CHAPINERO,4.627176,-74.049148
31,Casa,457477337,93.9,3,4,4,13,TEUSAQUILLO,4.636941,-74.078322
32,Apartamento,174018286,75.9,2,2,1,7,BOSA,4.617876,-74.170474
33,Apartamento,213747209,51.1,2,3,3,17,CANDELARIA,4.603693,-74.070161
34,Apartamento,161730830,42.9,1,2,1,18,RAFAEL URIBE URIBE,4.575175,-74.082056
35,Apartamento,736796111,75.5,3,3,5,13,TEUSAQUILLO,4.623462,-74.093222
36,Apartamento,606786163,118.5,4,4,3,12,BARRIOS UNIDOS,4.689069,-74.060222
37,Apartamento,819650156,103.6,3,3,5,2,CHAPINERO,4.633232,-74.035934
38,Apartamento,360398461,49.7,2,2,4,1,USAQUEN,4.697961,-74.007929
39,Apartamento,464068454,67.2,2,3,4,1,USAQUEN,4.670322,-74.022118
40,Casa,529061883,137.6,5,6,3,4,SAN CRISTOBAL,4.567181,-74.054595
41,Apartamento,986356635,96.6,3,3,4,2,CHAPINERO,4.653973,-74.030767
42,Casa,578412813,110.1,4,4,3,1,USAQUEN,4.751492,-74.001975
43,Apartamento,246926176,53.5,3,4,3,12,BARRIOS UNIDOS,4.677611,-74.061617
44,Casa,661334971,102.4,3,4,3,14,LOS MARTIRES,4.593919,-74.087537
45,Apartamento,301245328,59.2,2,1,3,12,BARRIOS UNIDOS,4.668508,-74.086783
46,Apartamento,603765914,86.6,3,3,4,2,CHAPINERO,4.641332,-74.061752
47,Casa,573267597,104.8,3,2,3,11,SUBA,4.73473,-74.077417
48,Casa,421905147,113.7,4,4,3,11,SUBA,4.721158,-74.064521
49,Apartamento,390049862,81.3,3,3,3,15,ANTONIO NARIÑO,4.576198,-74.098483
50,Apartamento,212286248,71.1,2,1,3,9,FONTIBON,4.673257,-74.157297
51,Apartamento,878939685,116.1,5,4,4,1,USAQUEN,4.724458,-74.031098
52,Apartamento,1332620707,121.9,4,4,6,2,CHAPINERO,4.679598,-74.047039
53,Oficina,361992840,79.7,4,5,3,11,SUBA,4.743026,-74.100143
54,Apartamento,581286815,72.2,2,1,4,12,BARRIOS UNIDOS,4.681514,-74.074971
55,Apartamento,262865393,60.8,2,3,3,11,SUBA,4.731032,-74.048132
56,Apartamento,208572569,43.5,2,1,3,8,KENNEDY,4.644466,-74.115827
57,Casa,855181188,87.4,3,2,6,2,CHAPINERO,4.623385,-74.063515
58,Apartamento,764110871,109.1,4,3,3,1,USAQUEN,4.664734,-74.028824
59,Casa,811143369,130.0,4,3,5,2,CHAPINERO,4.647662,-74.03358
60,Casa,510059264,134.8,5,6,2,8,KENNEDY,4.615146,-74.150061
61,Apartaestudio,233363411,32.5,1,1,5,1,USAQUEN,4.754867,-74.006218
62,Apartamento,754454178,63.4,2,3,4,1,USAQUEN,4.703149,-74.005575
63,Apartamento,521567081,67.6,2,1,4,1,USAQUEN,4.746842,-74.029395
64,Apartamento,483966010,50.9,2,1,5,2,CHAPINERO,4.660336,-74.054093
65,Apartamento,690182205,69.2,3,3,4,1,USAQUEN,4.671839,-74.043627
66,Apartamento,416709860,69.7,3,2,4,13,TEUSAQUILLO,4.642546,-74.073688
67,Apartamento,262241155,33.7,2,3,4,1,USAQUEN,4.711075,-74.044936
68,Apartaestudio,200802963,25.6,2,1,5,1,USAQUEN,4.727496,-74.044991
69,Casa,940374928,104.6,3,4,6,2,CHAPINERO,4.668885,-74.047899
70,Apartamento,76711037,34.1,1,1,1,19,CIUDAD BOLIVAR,4.56933,-74.104537
71,Casa,1400338789,171.6,6,5,5,1,USAQUEN,4.706756,-74.020196
72,Apartamento,272109787,50.2,2,3,4,1,USAQUEN,4.737643,-74.005621
73,Apartamento,171221687,75.0,3,2,3,18,RAFAEL URIBE URIBE,4.570252,-74.093637
74,Casa,594870039,132.4,5,4,3,11,SUBA,4.735873,-74.054061
75,Apartaestudio,238496589,46.5,2,1,3,1,USAQUEN,4.730259,-74.046295
76,Casa,805372180,160.5,6,5,4,1,USAQUEN,4.758482,-74.025835
77,Apartamento,571826039,82.0,2,2,4,2,CHAPINERO,4.64116,-74.066033
78,Apartamento,249258212,68.8,3,3,2,12,BARRIOS UNIDOS,4.667684,-74.075524
79,Casa,463963163,87.4,3,3,3,10,ENGATIVA,4.702757,-74.080539
80,Casa,680272340,155.9,6,5,3,1,USAQUEN,4.693784,-74.01491
81,Apartamento,162393572,62.1,3,2,3,8,KENNEDY,4.627392,-74.102717
82,Apartamento,599287807,76.0,2,1,4,2,CHAPINERO,4.658684,-74.035732
83,Apartamento,239139523,43.1,1,2,4,12,BARRIOS UNIDOS,4.670411,-74.085077
84,Apartamento,970203649,84.4,3,2,5,2,CHAPINERO,4.632284,-74.036965
85,Apartamento,405266915,91.4,3,4,3,8,KENNEDY,4.597775,-74.169056
86,Apartamento,592296918,89.5,3,3,4,1,USAQUEN,4.75069,-74.00354
87,Apartamento,448683703,69.2,2,2,4,1,USAQUEN,4.759073,-74.020114
88,Apartamento,258614905,59.0,2,2,3,8,KENNEDY,4.621702,-74.130426
89,Apartaestudio,65252127,30.2,2,1,1,18,RAFAEL URIBE URIBE,4.564411,-74.09219
90,Apartamento,171547315,65.0,2,2,3,16,PUENTE ARANDA,4.646495,-74.100058
91,Apartamento,412911911,58.8,2,1,4,2,CHAPINERO,4.655787,-74.064503
92,Apartamento,470358232,57.9,2,2,4,2,CHAPINERO,4.630541,-74.062599
93,Apartamento,275313096,55.5,2,1,3,11,SUBA,4.768245,-74.068827
94,Apartaestudio,343842042,58.2,3,2,4,2,CHAPINERO,4.621792,-74.040144
95,Apartamento,534825297,111.3,4,4,4,3,SANTA FE,4.628522,-74.081824
96,Apartamento,594231520,74.1,3,3,4,2,CHAPINERO,4.63381,-74.054818
97,Apartamento,348849033,49.2,1,1,5,2,CHAPINERO,4.638254,-74.060456
98,Apartamento,378470881,70.8,2,1,5,11,SUBA,4.750888,-74.045212
99,Oficina,272344848,45.6,1,1,4,13,TEUSAQUILLO,4.626547,-74.076094
100,Apartamento,425290896,72.0,2,1,4,2,CHAPINERO,4.657568,-74.035671
101,Apartamento,509470522,108.0,3,2,4,1,USAQUEN,4.668609,-74.028816
102,Apartamento,328106732,57.6,1,1,3,17,CANDELARIA,4.598662,-74.065731
103,Apartamento,250059486,59.1,3,2,3,11,SUBA,4.717314,-74.113231
104,Casa,1312218397,127.5,4,3,6,2,CHAPINERO,4.660032,-74.050085
105,Casa,1840170326,123.0,4,4,5,2,CHAPINERO,4.65361,-74.043581
106,Apartamento,661620939,61.6,2,1,4,13,TEUSAQUILLO,4.632394,-74.086801
107,Apartaestudio,145034407,43.7,2,3,3,8,KENNEDY,4.628897,-74.1386
108,Casa,638914651,66.7,3,3,4,13,TEUSAQUILLO,4.62655,-74.071428
109,Apartamento,631561772,71.6,3,2,4,2,CHAPINERO,4.674396,-74.042707
110,Apartamento,528806747,82.1,2,3,4,2,CHAPINERO,4.659764,-74.046183
111,Apartamento,353238475,95.4,3,3,3,4,SAN CRISTOBAL,4.567104,-74.081824
112,Apartamento,309508193,43.5,1,1,5,9,FONTIBON,4.683332,-74.121725
113,Apartamento,344246489,76.5,2,1,3,1,USAQUEN,4.720993,-74.028643
114,Apartamento,433479227,85.6,3,2,3,3,SANTA FE,4.58372,-74.065981
115,Casa,1168958629,145.1,5,4,4,2,CHAPINERO,4.675767,-74.031557
116,Apartamento,515856073,49.0,3,2,5,2,CHAPINERO,4.633117,-74.069813
117,Apartamento,244358189,55.8,2,1,3,9,FONTIBON,4.678645,-74.100377
118,Apartamento,619798572,53.2,3,3,5,13,TEUSAQUILLO,4.657657,-74.098752
119,Apartamento,944014609,78.2,2,2,5,2,CHAPINERO,4.678985,-74.069689
120,Casa,395512920,103.1,3,4,3,11,SUBA,4.746114,-74.012798
121,Apartamento,267707515,46.0,1,1,4,2,CHAPINERO,4.659355,-74.045104
122,Apartamento,298574857,88.9,4,5,3,11,SUBA,4.728008,-74.075407
123,Apartamento,300960829,106.6,3,2,2,9,FONTIBON,4.664977,-74.119134
124,Casa,330239677,78.2,2,3,3,11,SUBA,4.745652,-74.057075
125,Casa,1072982856,83.1,3,4,6,2,CHAPINERO,4.64011,-74.032237
126,Apartamento,513742075,68.0,1,1,4,1,USAQUEN,4.701592,-74.046392
127,Apartamento,511455582,63.9,2,1,5,2,CHAPINERO,4.672979,-74.052491
128,Apartamento,358742818,36.8,1,1,5,2,CHAPINERO,4.638186,-74.05299
129,Casa,962884948,118.9,4,4,4,13,TEUSAQUILLO,4.649217,-74.076356
130,Apartamento,104823088,54.4,2,2,2,4,SAN CRISTOBAL,4.526259,-74.061607
131,Apartamento,309593308,47.2,2,1,4,2,CHAPINERO,4.67611,-74.058917
132,Apartamento,263872280,51.3,2,2,3,11,SUBA,4.745599,-74.059473
133,Apartamento,604600548,107.7,4,3,4,18,RAFAEL URIBE URIBE,4.57015,-74.085127
134,Casa,925134448,141.5,5,6,4,2,CHAPINERO,4.667994,-74.037621
135,Apartamento,168371795,46.9,2,1,2,7,BOSA,4.606361,-74.188364
136,Apartamento,407777190,64.8,2,2,5,13,TEUSAQUILLO,4.630741,-74.082328
137,Casa,1193128902,117.4,5,4,6,2,CHAPINERO,4.676629,-74.036007
138,Apartamento,1228841058,90.6,3,4,6,2,CHAPINERO,4.654918,-74.057006
139,Apartamento,391946157,86.9,4,5,3,11,SUBA,4.73313,-74.094053
140,Oficina,611864777,105.8,3,2,4,1,USAQUEN,4.679744,-74.019413
141,Casa,855294971,204.4,6,5,3,10,ENGATIVA,4.723631,-74.114242
142,Apartamento,522216153,63.8,2,3,4,2,CHAPINERO,4.641797,-74.056541
143,Apartamento,445215733,81.2,3,2,4,17,CANDELARIA,4.599242,-74.061642
144,Apartamento,533529801,84.0,3,3,4,13,TEUSAQUILLO,4.638586,-74.077715
145,Apartamento,766056663,94.5,3,4,4,2,CHAPINERO,4.644822,-74.064374
146,Apartamento,502616863,98.6,4,5,3,1,USAQUEN,4.687955,-74.015013
147,Apartamento,465244840,70.2,2,2,5,1,USAQUEN,4.73742,-74.03203
148,Apartamento,501732954,90.6,3,3,4,1,USAQUEN,4.722875,-74.027996
149,Apartamento,583727009,71.7,2,1,4,2,CHAPINERO,4.657385,-74.043286
150,Apartamento,228134657,47.5,1,1,3,15,ANTONIO NARIÑO,4.588812,-74.083182
151,Apartamento,470807440,64.6,2,2,4,2,CHAPINERO,4.656626,-74.052861
152,Apartamento,479359962,87.9,2,2,3,15,ANTONIO NARIÑO,4.584283,-74.086257
153,Apartamento,357044511,57.3,2,3,4,12,BARRIOS UNIDOS,4.666525,-74.06296
154,Apartamento,283143511,87.3,3,3,2,9,FONTIBON,4.685291,-74.159068
155,Apartamento,293661909,69.7,3,3,3,10,ENGATIVA,4.698007,-74.113096
156,Casa,832865958,201.1,6,5,3,11,SUBA,4.779154,-74.00286
157,Apartamento,646585416,67.6,1,1,5,2,CHAPINERO,4.634561,-74.047063
158,Apartamento,422146558,85.4,2,1,3,10,ENGATIVA,4.723599,-74.121423
159,Apartamento,697416964,79.5,2,3,5,2,CHAPINERO,4.640864,-74.046337
160,Apartaestudio,426909851,44.0,1,1,5,2,CHAPINERO,4.634045,-74.037532
161,Casa,254664796,93.9,3,2,3,11,SUBA,4.750216,-74.11915
162,Apartamento,285414167,54.8,2,3,3,1,USAQUEN,4.73042,-74.005327
163,Apartamento,315555598,34.3,1,1,6,2,CHAPINERO,4.638922,-74.042701
164,Apartamento,333073544,78.9,3,4,3,10,ENGATIVA,4.698875,-74.114731
165,Apartamento,394477531,48.5,2,3,4,1,USAQUEN,4.669368,-74.002941
166,Casa,1340270112,86.4,4,5,6,1,USAQUEN,4.674564,-74.047877
167,Apartamento,539995237,85.9,3,4,5,1,USAQUEN,4.722918,-74.003805
168,Apartamento,284291798,54.6,2,3,3,11,SUBA,4.761466,-74.097631
169,Casa,1071013915,93.3,3,2,4,1,USAQUEN,4.684717,-74.026063
170,Apartamento,954003059,75.3,2,3,6,2,CHAPINERO,4.668382,-74.054355
171,Apartamento,286957667,65.4,2,2,4,10,ENGATIVA,4.719897,-74.101137
172,Apartamento,678925308,134.7,5,4,3,3,SANTA FE,4.642517,-74.075863
173,Casa,1290735919,144.9,5,4,6,2,CHAPINERO,4.671675,-74.057069
174,Apartamento,281216696,44.9,2,3,3,11,SUBA,4.761847,-74.04476
175,Casa,699345431,84.6,3,3,5,2,CHAPINERO,4.659765,-74.064726
176,Casa,1076084291,169.2,6,6,5,2,CHAPINERO,4.637563,-74.04396
177,Oficina,452760183,71.3,2,2,3,1,USAQUEN,4.672909,-74.036446
178,Apartamento,446775429,56.2,2,2,5,1,USAQUEN,4.717408,-74.025655
179,Apartamento,518649442,55.6,2,2,4,12,BARRIOS UNIDOS,4.670968,-74.062539
180,Apartamento,443969113,68.1,2,1,4,2,CHAPINERO,4.641408,-74.062275
181,Apartamento,864797533,84.3,3,3,6,2,CHAPINERO,4.651471,-74.0392
182,Apartamento,207122259,37.9,2,2,4,2,CHAPINERO,4.647939,-74.044245
183,Apartamento,578541716,60.0,2,1,4,2,CHAPINERO,4.629526,-74.067342
184,Apartaestudio,46150339,25.4,1,1,2,6,TUNJUELITO,4.576697,-74.107417
185,Apartamento,240130590,43.0,2,2,4,16,PUENTE ARANDA,4.648195,-74.102447
186,Apartamento,649733432,76.8,3,3,5,2,CHAPINERO,4.679818,-74.038739
187,Apartamento,696706912,77.3,3,3,6,2,CHAPINERO,4.638821,-74.064976
188,Apartamento,443496740,60.7,2,2,4,2,CHAPINERO,4.657879,-74.066107
189,Casa,400385275,100.1,3,2,3,11,SUBA,4.734021,-74.078849
190,Apartamento,445756383,58.1,2,1,4,13,TEUSAQUILLO,4.631476,-74.088517
191,Apartamento,355626181,46.3,2,2,4,2,CHAPINERO,4.635963,-74.065003
192,Casa,489775896,143.7,5,5,3,16,PUENTE ARANDA,4.648146,-74.102311
193,Apartamento,260888263,63.8,2,2,3,4,SAN CRISTOBAL,4.548162,-74.088542
194,Apartamento,668708572,65.4,2,1,6,2,CHAPINERO,4.676669,-74.038461
195,Apartamento,126044556,53.9,2,3,1,5,USME,4.453975,-74.149954
196,Apartaestudio,225124164,37.0,1,1,3,14,LOS MARTIRES,4.593979,-74.083094
197,Casa,734633632,77.6,3,2,5,1,USAQUEN,4.742507,-74.033069
198,Apartamento,272818308,44.5,2,2,4,2,CHAPINERO,4.676995,-74.043648
199,Casa,540036297,88.7,3,3,4,1,USAQUEN,4.667502,-74.017105
200,Apartamento,271863133,48.4,2,3,3,14,LOS MARTIRES,4.590781,-74.09848
